,Date,Category,title,href,freeShipping,numsold,rating,noofcomment
0,2023-03-12 21:29:33.065583,Budget Gaming PC,PC ULTIMATE LEGACY FULL SET BUDGET GAMING PC / CUSTOM PC / CPU PUBG GTAV DESKTOP / RTX 3050 3060 3070 3080 4070 4080 Ti,/PC-ULTIMATE-LEGACY-FULL-SET-BUDGET-GAMING-PC-CUSTOM-PC-CPU-PUBG-GTAV-DESKTOP-RTX-3050-3060-3070-3080-4070-4080-Ti-i.44965307.1392557677,Yes,77.0,5.0,660.0
1,2023-03-12 21:29:33.065583,Budget Gaming PC,(READY STOCK) GAMING PC PACKAGE RTX 3060 / RTX 3050 / RYZEN 7 5700G HIGH PERFORMANCE,/(READY-STOCK)-GAMING-PC-PACKAGE-RTX-3060-RTX-3050-RYZEN-7-5700G-HIGH-PERFORMANCE-i.167177602.5750273672,Yes,72.0,5.0,514.0
2,2023-03-12 21:29:33.065583,Budget Gaming PC,FULL SET BUDGET GAMING PC / CUSTOM PC / INTEL / RYZEN / NVIDIA RTX GTX / CPU PUBG GTAV DESKTOP 3050 / 3060 / 3060Ti,/FULL-SET-BUDGET-GAMING-PC-CUSTOM-PC-INTEL-RYZEN-NVIDIA-RTX-GTX-CPU-PUBG-GTAV-DESKTOP-3050-3060-3060Ti-i.21535037.681901622,Yes,59.0,5.0,2059.0
3,2023-03-12 21:29:33.065583,Budget Gaming PC,BUDGET GAMING PC / DESKTOP / PC / RYZEN PC GAMING,/BUDGET-GAMING-PC-DESKTOP-PC-RYZEN-PC-GAMING-i.45337593.2558034927,Yes,27.0,5.0,347.0
4,2023-03-12 21:29:33.065583,Budget Gaming PC,"Budget Gaming PC Desktop 2022 with Intel / Ryzen  / RTX High Spec Fullset 24"" Monitor 3 Years Warranty!",/Budget-Gaming-PC-Desktop-2022-with-Intel-Ryzen-RTX-High-Spec-Fullset-24-Monitor-3-Years-Warranty!-i.13885824.1314144048,Yes,26.0,5.0,1014.0
5,2023-03-12 21:29:33.065583,Budget Gaming PC,"( Gaming RTX 2060 ) Core I3 i5 / i5-6500 6 GEN/4-8GB RAM/120GB SSD/1TB HDD/2GB GT730 / 4GB DDR5 GTX1650/20""-24"" LCD",/(-Gaming-RTX-2060-)-Core-I3-i5-i5-6500-6-GEN-4-8GB-RAM-120GB-SSD-1TB-HDD-2GB-GT730-4GB-DDR5-GTX1650-20-24-LCD-i.206155856.9104547365,Yes,24.0,5.0,330.0
6,2023-03-12 21:29:33.065583,Budget Gaming PC,FULL SET BUDGET GAMING PC / DESKTOP / PC / READY STOCK,/FULL-SET-BUDGET-GAMING-PC-DESKTOP-PC-READY-STOCK-i.881579.139060586,Yes,20.0,5.0,715.0
7,2023-03-12 21:29:33.065583,Budget Gaming PC,FULL SET BUDGET GAMING PC / CUSTOM PC / INTEL / RYZEN / NVIDIA RTX GTX / CPU PUBG GTAV DESKTOP 3050 / 3060 / 3060Ti,/FULL-SET-BUDGET-GAMING-PC-CUSTOM-PC-INTEL-RYZEN-NVIDIA-RTX-GTX-CPU-PUBG-GTAV-DESKTOP-3050-3060-3060Ti-i.250860104.3551547281,Yes,19.0,5.0,86.0
8,2023-03-12 21:29:33.065583,Budget Gaming PC,GAMING PC Ryzen 5 5600G/4650G Entry Level Desktop Gaming PC Package,/GAMING-PC-Ryzen-5-5600G-4650G-Entry-Level-Desktop-Gaming-PC-Package-i.17917691.12240950422,Yes,18.0,5.0,32.0
9,2023-03-12 21:29:33.065583,Budget Gaming PC,Miagaming PC package add-on (Only for PC Package),/Miagaming-PC-package-add-on-(Only-for-PC-Package)-i.13885824.10944149623,Yes,18.0,5.0,116.0
10,2023-03-12 21:29:33.065583,Budget Gaming PC,INTEL i3 i5 i7 GTX 1650 1660 RTX 2060 3060  STARTER BUDGET BAJET GAMING STREAMING EDITING COMPUTER DESKTOP PC CPU MURAH,/INTEL-i3-i5-i7-GTX-1650-1660-RTX-2060-3060-STARTER-BUDGET-BAJET-GAMING-STREAMING-EDITING-COMPUTER-DESKTOP-PC-CPU-MURAH-i.194874772.10390868409,Yes,15.0,5.0,23.0
11,2023-03-12 21:29:33.065583,Budget Gaming PC,FULL SET BUDGET Intel Core i9 i7 i5 i3 Gaming Desktop PC i9 12900F 12700F 12400F RTX3080 RTX3070 RTX3060 RTX3050,/FULL-SET-BUDGET-Intel-Core-i9-i7-i5-i3-Gaming-Desktop-PC-i9-12900F-12700F-12400F-RTX3080-RTX3070-RTX3060-RTX3050-i.12866300.6701005233,Yes,15.0,5.0,212.0
12,2023-03-12 21:29:33.065583,Budget Gaming PC,PC PACKAGE UPGRADE / ADD-ON (ONLY FOR PC PACKAGE),/PC-PACKAGE-UPGRADE-ADD-ON-(ONLY-FOR-PC-PACKAGE)-i.21535037.11440772274,Yes,15.0,5.0,90.0
13,2023-03-12 21:29:33.065583,Budget Gaming PC,JUSTIT AMD Basic Gaming PC Ryzen 5 4600G / 5600G or 5700G or Ryzen 5 5500 8GB / 256GB or 480GB / GTX1650 or RTX2060,/JUSTIT-AMD-Basic-Gaming-PC-Ryzen-5-4600G-5600G-or-5700G-or-Ryzen-5-5500-8GB-256GB-or-480GB-GTX1650-or-RTX2060-i.20108462.15132414156,Yes,14.0,5.0,31.0
14,2023-03-12 21:29:33.065583,Budget Gaming PC,FULL SET BUDGET OFFICE HOME USE GAMING PC Desktop Core i3 i5 i7 Nvidia Intel GTX750,/FULL-SET-BUDGET-OFFICE-HOME-USE-GAMING-PC-Desktop-Core-i3-i5-i7-Nvidia-Intel-GTX750-i.12866300.21848391330,Yes,12.0,5.0,5.0
15,2023-03-12 21:29:33.065583,Budget Gaming PC,NETSTORE CUSTOM PC PAYMENT,/NETSTORE-CUSTOM-PC-PAYMENT-i.11578329.9305018769,Yes,12.0,5.0,55.0
16,2023-03-12 21:29:33.065583,Budget Gaming PC,PC Gaming Full Set SIAP FREE FULL GAMES / Desktop Budget Full Set /PC Budget Full Set,/PC-Gaming-Full-Set-SIAP-FREE-FULL-GAMES-Desktop-Budget-Full-Set-PC-Budget-Full-Set-i.10895640.4232458323,Yes,11.0,5.0,73.0
17,2023-03-12 21:29:33.065583,Budget Gaming PC,Ryzen Custom Gaming PC R7 7700X / R5 7600X / 5600X + RTX 4090 / RTX 4080 / RTX 4070 Ti / RTX 3060 Ti / RTX 3060 /GTX1650,/Ryzen-Custom-Gaming-PC-R7-7700X-R5-7600X-5600X-RTX-4090-RTX-4080-RTX-4070-Ti-RTX-3060-Ti-RTX-3060-GTX1650-i.283323248.7341506199,Yes,9.0,5.0,108.0
18,2023-03-12 21:29:33.065583,Budget Gaming PC,"Gaming PC office pc intel i7 i5 8GB RX570 GTX1650 RX470 DDR5 GTX750TI GTX950 desktop CPU i3 Dell Hp 23"" gtx1060 GTX1070",/Gaming-PC-office-pc-intel-i7-i5-8GB-RX570-GTX1650-RX470-DDR5-GTX750TI-GTX950-desktop-CPU-i3-Dell-Hp-23-gtx1060-GTX1070-i.120583404.1840419845,Yes,9.0,5.0,473.0
